text,service
sharp chest pain when breathing,Cardiology
tightness in chest after exercise,Cardiology
heart beating irregularly,Cardiology
shortness of breath and chest pain,Cardiology
pressure in chest while resting,Cardiology
burning sensation in chest area,Cardiology
pain spreading from chest to arm,Cardiology
palpitations and dizziness,Cardiology
rapid heartbeat during rest,Cardiology
chest discomfort after climbing stairs,Cardiology
heart racing suddenly,Cardiology
chest pain after heavy meal,Cardiology
irregular pulse feeling,Cardiology
left side chest pain,Cardiology
chest heaviness and fatigue,Cardiology
breathing difficulty with chest pain,Cardiology
pain near heart area,Cardiology
heart pounding hard,Cardiology
chest pressure during night,Cardiology
unusual heartbeat feeling,Cardiology
difficulty walking due to knee pain,Orthopedics
pain in leg after running,Orthopedics
shoulder joint stiffness,Orthopedics
ankle pain after twisting foot,Orthopedics
bone pain in arm,Orthopedics
difficulty bending knee,Orthopedics
lower back pain after lifting,Orthopedics
pain in hip joint,Orthopedics
swelling in knee joint,Orthopedics
stiff neck and shoulder pain,Orthopedics
pain in elbow when lifting objects,Orthopedics
sprained ankle pain,Orthopedics
shoulder pain while rotating arm,Orthopedics
difficulty standing due to leg pain,Orthopedics
joint swelling in wrist,Orthopedics
pain when bending back,Orthopedics
crack sound in knee joint,Orthopedics
hip pain while walking,Orthopedics
bone fracture pain in leg,Orthopedics
difficulty climbing stairs due to knee pain,Orthopedics
constant headache for two days,Neurology
dizziness while standing up,Neurology
migraine with nausea,Neurology
severe headache behind eyes,Neurology
feeling dizzy and weak,Neurology
head spinning sensation,Neurology
difficulty focusing due to headache,Neurology
numbness in hands and headache,Neurology
frequent migraine attacks,Neurology
balance problems while walking,Neurology
headache with blurred vision,Neurology
sudden dizziness during walking,Neurology
sharp headache on one side,Neurology
sensitivity to light with headache,Neurology
nausea with migraine pain,Neurology
constant pressure in head,Neurology
tingling sensation in head,Neurology
difficulty concentrating due to headache,Neurology
dizziness and loss of balance,Neurology
migraine pain lasting several hours,Neurology
itchy skin rash on arms,Dermatology
red bumps on skin,Dermatology
dry flaky skin patches,Dermatology
skin irritation after allergy,Dermatology
small red rash on neck,Dermatology
itching around skin folds,Dermatology
acne on forehead and cheeks,Dermatology
skin redness after sun exposure,Dermatology
white patches on skin,Dermatology
itchy red spots on legs,Dermatology
dry skin causing irritation,Dermatology
skin peeling on fingers,Dermatology
rash spreading across arms,Dermatology
burning sensation on skin,Dermatology
itchy scalp and redness,Dermatology
redness around nose and cheeks,Dermatology
skin inflammation after allergic reaction,Dermatology
small itchy bumps on skin,Dermatology
skin rash after using new soap,Dermatology
dry cracked skin on hands,Dermatology
tingling sensation in head,Neurology
itchy skin rash on arms,Dermatology
shortness of breath and chest pain,Cardiology
rapid heartbeat during rest,Cardiology
pain in hip joint,Orthopedics
skin rash after using new soap,Dermatology
difficulty climbing stairs due to knee pain,Orthopedics
hip pain while walking,Orthopedics
constant headache for two days,Neurology
heart pounding hard,Cardiology
constant pressure in head,Neurology
